name,brand,url,mainImageurl,SKU,Reviews,Rating,Model,retailer,storesku,omsid,storeName,storeID,storeLocation,inventory
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Home Depot,NULL,1003204702
0.75 in. x 60 ft. 7 mil Vinyl Electrical Tape - Black (10-Pack),Commercial Electric,https://www.homedepot.com/p/Commercial-Electric-0-75-in-x-60-ft-7-mil-Vinyl-Electrical-Tape-Black-10-Pack-30002653/202799051,https://images.thdstatic.com/productImages/58bef139-2701-4bb1-94c6-7e7a5da46c7b/svn/commercial-electric-electrical-tapes-30002653-64_1000.jpg,515192,NULL,NULL,30002653,Home Depot,NULL,202799051
"1 Gal Ready-To-Use All-in-One Rose and Flower Plant Spray 3-in-1 Insect Killer, Disease and Mite Control",BIOADVANCED,https://www.homedepot.com/p/BIOADVANCED-1-Gal-Ready-To-Use-All-in-One-Rose-and-Flower-Plant-Spray-3-in-1-Insect-Killer-Disease-and-Mite-Control-820157E/327367179,https://images.thdstatic.com/productImages/cb9e8b78-c18b-5268-9dd5-8b42a1a00dd9/svn/bioadvanced-bug-killer-spray-820157e-64_1000.jpg,1010540383,113,4.42,820157E,Home Depot,1010540383,327367179
"1 Gal. Dual Action 365 Weed and Grass Killer Plus 12-Month Preventer with Comfort Wand, Kills, Prevents for up to 1-Year",Roundup,https://www.homedepot.com/p/Roundup-1-Gal-Dual-Action-365-Weed-and-Grass-Killer-Plus-12-Month-Preventer-with-Comfort-Wand-Kills-Prevents-for-up-to-1-Year-5478304/325446535,https://images.thdstatic.com/productImages/689cf8f4-3b93-42c3-ad31-1157478829b4/svn/roundup-weed-grass-killer-5478304-64_1000.jpg,1009964097,675,4.38,5478304,Home Depot,1009964097,325446535
1 Gal. Dual Action Weed and Grass Killer Plus 4-Month Preventer with Sure Shot Wand,Roundup,https://www.homedepot.com/p/Roundup-1-Gal-Dual-Action-Weed-and-Grass-Killer-Plus-4-Month-Preventer-with-Sure-Shot-Wand-5378304/321562579,https://images.thdstatic.com/productImages/43439b42-2245-427c-a1f3-b29daf240ee9/svn/roundup-weed-grass-killer-5378304-64_1000.jpg,1008675765,1603,4.26,5378304,Home Depot,1008675765,321562579
1 Gal. Flea and Tick Ready-to-Use Sprayer,Black Flag,https://www.homedepot.com/p/Black-Flag-1-Gal-Flea-and-Tick-Ready-to-Use-Sprayer-Hg-11093-1/206808399,https://images.thdstatic.com/productImages/d119b1c1-b246-41da-92cd-4ee81563f35f/svn/black-flag-bug-killer-spray-hg-11093-1-64_1000.jpg,414204,606,3.29,Hg-11093-1,Home Depot,414204,206808399
1 Gal. Home Defense Max Refill Insect Killer,ORTHO,https://www.homedepot.com/p/Ortho-1-Gal-Home-Defense-Max-Refill-Insect-Killer-020320505/314618115,https://images.thdstatic.com/productImages/4424aeed-d19a-4907-8994-c39c87296669/svn/ortho-bug-killer-spray-020320505-64_1000.jpg,1005954865,354,3.78,20320505,Home Depot,1005954865,314618115
1 Gal. Ready to Use Extended Control Brush Killer,BIOADVANCED,https://www.homedepot.com/p/BIOADVANCED-1-Gal-Ready-to-Use-Extended-Control-Brush-Killer-800610A/318819506,https://images.thdstatic.com/productImages/168741c5-a4ac-4c61-ac67-4261613c0567/svn/bioadvanced-weed-grass-killer-800610a-64_1000.jpg,1006983903,953,3.97,800610A,Home Depot,1006983903,318819506
1 Gal. Ready-to-Use Brush Killer Plus,BIOADVANCED,https://www.homedepot.com/p/BIOADVANCED-1-Gal-Ready-to-Use-Brush-Killer-Plus-704655/203029601,https://images.thdstatic.com/productImages/6b3b8960-6f61-4e4a-8c1a-2c9124b0466b/svn/bioadvanced-weed-grass-killer-704655-64_1000.jpg,348243,2073,3.82,704655,Home Depot,348243,203029601
1 Gal. Ready-to-Use Carpenter Ant and Termite Insect Killer Plus,BIOADVANCED,https://www.homedepot.com/p/BIOADVANCED-1-Gal-Ready-to-Use-Carpenter-Ant-and-Termite-Insect-Killer-Plus-700332/100658970,https://images.thdstatic.com/productImages/4c41ecfa-6a33-41e6-8672-7bd227293291/svn/bioadvanced-bug-killer-spray-700332-64_1000.jpg,721858,1440,4.11,700332,Home Depot,721858,100658970
