Store #,Store Name,Store Address,Store City,Store ZIp,Store Phone,Store Fax,State,Div #,Division Name,Reg #,Region,DM #,DM Name,Mkt #,Market Name,BYO #,BYO Name,Store Open Date,Square Footage,LAT1,LONG1,ts_datetime,District#
6322,N MIAMI/BISCAYNE,12055 BISCAYNE BLVD,MIAMI,33181,305-981-2959,305-899-5524,FL,1,SOUTHERN,47,SOUTH FLORIDA/PR,266,RUBEN RODRIGUEZ ,2,MIAMI/FTL/WPALM,1,SOUTHEAST,00:00.0,102248,25.8871021,-80.1629736,00:00.0,266
4127,STROUDSBURG,150 POCONO COMMONS,STROUDSBURG,18360,570-476-6656,570-476-2596,PA,4,NORTHERN,16,NJ METRO,57,DAVID AMATO ,68,PENNSYLVANIA,3,NORTHEAST,00:00.0,114446,40.9957885,-75.2430606,00:00.0,57
1905,DARIEN,2101 W 75TH STREET,DARIEN,60561,630-271-9600,630-271-3416,IL,4,NORTHERN,8,CENTRAL,257,GARY P HUTCHINSON ,75,CHICAGO,7,MIDWEST,00:00.0,110789,41.7502722,-87.9966458,00:00.0,257
402,YUMA,1111 S REDONDO CENTER,YUMA,85365,928-373-9453,928-373-4416,AZ,2,WESTERN,34,PAC MTN DESERT,287,CLARENCE E FORD JR,6,PHOENIX,5,PACIFIC,00:00.0,105855,32.7075802,-114.6119962,00:00.0,287
415,QUEEN CREEK,7401 S POWER ROAD,QUEEN CREEK,85142,480-988-6810,480-279-3413,AZ,2,WESTERN,34,PAC MTN DESERT,66,CLAYTON P BROWN ,6,PHOENIX,5,PACIFIC,00:00.0,114700,33.2814498,-111.6832185,00:00.0,66
4620,FREDERICKSBURG,1201 GATEWAY BLVD,FREDERICKSBURG,22401,540-368-0515,540-368-0216,VA,4,NORTHERN,10,MID-ATLANTIC,34,MATTHEW R BOBBITT ,43,WASHINGTON DC,3,NORTHEAST,00:00.0,116493,38.2927189,-77.5029433,00:00.0,34
6364,W ST PETERSBURG,2070 TYRONE BLVD N,SAINT PETERSBURG,33710,727-347-1833,727-384-7413,FL,1,SOUTHERN,24,SOUTHEAST,13,STACEY A GASKINS ,4,TAMPA/ST.PETE,1,SOUTHEAST,00:00.0,94875,27.7886442,-82.7273156,00:00.0,13
540,N RICHLAND,6501 NE LOOP 820,RICHLAND HILLS,76180,817-485-4400,817-788-7430,TX,1,SOUTHERN,11,SOUTHWEST,169,TRINA M CARPENTER ,16,DALLAS/FT WORTH,11,SOUTHWEST,00:00.0,102964,32.8420027,-97.2432363,00:00.0,169
1206,FREEPORT,160 E. SUNRISE HWY,FREEPORT,11520,516-546-6280,516-377-3416,NY,4,NORTHERN,31,NY METRO,148,PATRICK C IAQUINTA ,20,LONG ISLAND,3,NORTHEAST,00:00.0,96473,40.6561994,-73.5754989,00:00.0,82
8976,"LANCASTER,TX",500 NORTH I-35 EAST,LANCASTER,75146,972-223-4929,972-274-8413,TX,1,SOUTHERN,11,SOUTHWEST,111,MELISSA D AKINS ,16,DALLAS/FT WORTH,11,SOUTHWEST,00:00.0,102083,32.5950502,-96.8197539,00:00.0,111
6669,ANTELOPE,5859 ANTELOPE RD,SACRAMENTO,95842,916-726-0620,916-727-4016,CA,2,WESTERN,5,PACIFIC NORTH,172,GERALD M COZY ,29,SACRAMENTO,5,PACIFIC,00:00.0,108646,38.7047558,-121.32899,00:00.0,172
587,"SOUTHLAKE, TX",300 VILLAGE CTR DR,SOUTHLAKE,76092,817-251-1554,817-251-3416,TX,1,SOUTHERN,11,SOUTHWEST,169,TRINA M CARPENTER ,16,DALLAS/FT WORTH,11,SOUTHWEST,00:00.0,103037,32.9430994,-97.124701,00:00.0,169
